Shape,Lon,Lat,Wb,Wr,Lb,Wt
triangle,-97.4,27.2,6.8,0.6,43.5,NaN
trapezoid,-97.3,27.7,15.8,1.7,33,0.2
trapezoid,-97.1,28.1,8,8,18,0.2
trapezoid,-97.7,28.3,12,7,13.6,0.2
trapezoid,-96.6,28.6,3.4,3.4,21,0.3
triangle,-96.4,28.7,2,0.7,13,NaN
trapezoid,-96.1,26.7,8.2,1,15.6,0.3
trapezoid,-94.9,24.5,15.3,1.2,28,0.3
trapezoid,-93.8,23.8,9,9,25.5,0.3
trapezoid,-93.3,29.9,10,3.2,23.3,0.3
trapezoid,-88,30.4,33,10,46,0.6
trapezoid,-87.4,30.4,1.9,1.9,18.7,0.8
trapezoid,-87.1,30.5,6.7,2.8,16.6,0.2
trapezoid,-87,30,2.5,0.9,15.3,0.3
